,City,Approx. Latitude,Approx. Longitude
0,ushuaia,-57.34207873635981,-49.01134866682736
1,dolbeau,49.69827075968007,-71.96515447504463
2,rikitea,-30.0623394141288,-139.53496844853396
3,bud,67.50729585966153,5.663876273456168
4,kapaa,27.81172656660219,-170.6433025746572
5,miraflores,1.0185501056322437,-71.46547464162711
6,uppsala,60.21995855251046,18.037835188824232
7,ponta do sol,19.120306596081136,-34.23788640579127
8,pangnirtung,66.13986489683725,-59.840062934613144
9,mataura,-71.67427649242798,-159.8541108174646
10,saint-augustin,53.12841067642353,-61.398490446460556
11,busselton,-85.69729317941501,76.36104791279257
12,hermanus,-84.00194962075474,8.180985112834406
13,lebu,-30.81165288690739,-93.2838810433478
14,kaitangata,-66.06726565581151,179.16475671498313
15,gillette,44.1827090410863,-105.79572751888877
16,vite,17.59627349516161,74.69582538752218
17,butaritari,21.933227432719562,162.72082979602914
18,westport,55.3662492320191,-11.256274785750747
19,iqaluit,57.35835125599101,-68.31978434489632
20,fez,32.14334494858234,-2.9734130053778642
21,juegang,33.1901938281473,122.60751494807005
22,sao filipe,12.105950038424552,-31.81981140376209
23,bonthe,5.653529956872276,-15.38800440268264
24,arraial do cabo,-29.249926401545622,-37.853081346094285
25,mount airy,39.61194805522922,-77.24887524682237
26,bluff,-64.85973826346088,167.99422832025198
27,hobart,-59.72502328773878,142.28898896870788
28,castro,-42.362426062039596,-80.26732270553492
29,punta arenas,-89.124744206123,-112.93176005471267
30,taolanaro,-79.44955209648283,66.6169235731351
31,taga,-14.875543366613414,-172.5957533410572
32,dolores,-36.45239778987551,-57.14491200638615
33,qaanaaq,76.64903737659583,-74.40810427980284
34,neuquen,-38.31787062377044,-69.64347491220957
35,tiksi,73.5441474793947,130.86963926262484
36,bhadra,29.073884711511965,75.14089727827337
37,hilo,2.178369552002536,-152.4224637469166
38,vostok,46.936398522293274,152.08055475198637
39,brigantine,36.83925955160228,-72.07425281908282
40,saint-joseph,-28.51342396942951,54.50018368221919
41,illoqqortoormiut,86.77918239090948,-26.342535527659038
42,cape town,-72.92225104324143,-14.57318247485992
43,komsomolskiy,45.9836902256927,46.137861128934986
44,guerrero negro,24.033296468976914,-121.28461946293842
45,esperance,-47.141761221666776,125.39301722632763
46,lompoc,24.74331685408582,-135.39573753206784
47,iskateley,69.23420558434353,55.078563524214815
48,vila velha,-24.53296667570976,-33.66655198093605
49,fortuna,32.337644429012585,-135.94480630736362
50,pevek,72.46992683211892,171.8756360095768
51,hualmay,-12.186786396757796,-78.98885147410903
52,gimli,51.15764358632558,-97.73905792875266
53,labutta,15.64260391872672,94.86503050724912
54,barrow,80.6021833739737,-155.7883523600619
55,khatanga,74.02260616651688,96.56214239918552
56,klaksvik,75.01122126085437,-3.9141814146086062
57,melito di porto salvo,37.40190807051394,16.371530867480715
58,upernavik,89.23405820535041,-55.090806936053696
59,nuevitas,22.47748490134832,-76.93218529081685
60,constitucion,23.252966073984823,-112.53902070519062
61,albany,-50.759461827920404,108.63260125401439
62,belaya gora,69.0186392796935,145.13919482341578
63,halifax,39.69723816484512,-61.01835880113683
64,isangel,-19.885300226800112,170.06581007805954
65,luganville,-15.059737335180486,167.78061323164206
66,jingdezhen,28.97507817748874,116.9440506333633
67,new norfolk,-78.98869322911531,126.60904023707047
68,bethel,53.117615225558524,-169.52893617423024
69,avarua,-33.3627139444675,-159.75749994468947
